Year,HD_M_Value,HD_M_US,HD_M_REL_US,HBP_M_Value,HBP_M_US,HBP_M_REL_US,HC_M_Value,HC_M_US,HC_M_REL_US,OB_M_Value,OB_M_US,OB_M_REL_US,DB_M_Value,DB_M_US,DB_M_REL_US,Target_Value
2017Centract,6.3,6.4,-0.015625,34.6,32.4,0.067901235,27.6,34.1,-0.1906,41.3,30.1,0.372093023,10.9,10.8,0.009259259,2.6
2017Centract,7.6,6.4,0.1875,39.5,32.4,0.219135802,33.7,34.1,-0.0117,35.5,30.1,0.179401993,9.8,10.8,-0.092592593,2.3
2017Centract,4.9,6.4,-0.234375,27.3,32.4,-0.157407407,38.5,34.1,0.1290,36.3,30.1,0.205980066,13.2,10.8,0.222222222,3.7
2017Centract,10.2,6.4,0.59375,23.5,32.4,-0.274691358,38.9,34.1,0.1408,25.5,30.1,-0.15282392,10.2,10.8,-0.055555556,7.2
2017Centract,3.6,6.4,-0.4375,44.1,32.4,0.361111111,32.1,34.1,-0.0587,39.9,30.1,0.325581395,11.9,10.8,0.101851852,7.6
2017Centract,6.6,6.4,0.03125,57.6,32.4,0.777777778,39.3,34.1,0.1525,26.4,30.1,-0.122923588,5.7,10.8,-0.472222222,2.3
2017Centract,9.6,6.4,0.5,43,32.4,0.327160494,40.9,34.1,0.1994,23.6,30.1,-0.215946844,14,10.8,0.296296296,3.7
2017Centract,6.2,6.4,-0.03125,35.3,32.4,0.089506173,34.4,34.1,0.0088,26.3,30.1,-0.126245847,9.4,10.8,-0.12962963,1.5
2017Centract,8,6.4,0.25,51.9,32.4,0.601851852,40.1,34.1,0.1760,27.9,30.1,-0.073089701,6,10.8,-0.444444444,1.6
2017Centract,8.5,6.4,0.328125,53,32.4,0.635802469,30.2,34.1,-0.1144,27.3,30.1,-0.093023256,5.8,10.8,-0.462962963,2.4
2017Centract,3.7,6.4,-0.421875,36.6,32.4,0.12962963,27.5,34.1,-0.1935,33,30.1,0.096345515,16.6,10.8,0.537037037,1.9
